Here is the summary of the decision points and the list of required documents for Acme Bank’s Micro-loan Fast-Track process:

### Decision Points in Micro-loan Fast-Track

The process contains the following points where a specific action or review determines the subsequent flow:

1.  **Dual Underwriter Split (Step 4)**: Underwriter A and Underwriter B assign independent risk scores (0–9).
2.  **Underwriter Alignment Gate (Step 5)**:
    *   If the two scores differ by **≤ 2 points**: continue to step 6.
    *   If the two scores differ by **> 2 points**: escalate to the **Harmonisation Committee** for a tie-break decision before continuing.
3.  **Amount Threshold Decision (Step 7)**:
    *   If **amount < €15 000**: the system **auto-approves**.
    *   If **amount ≥ €15 000**: proceed to **Final Micro-loan Board Approval (MBA)** (step 8).
4.  **Final Micro-loan Board Approval (MBA) (Step 8)**: The board votes *approve* or *reject*.

***

### Required Documents at Submission Time

The following documents are required at the time of submission:

*   Digital Application Form (ML-APP-01)
*   Proof of Address (≤ 3 months old)
*   Latest Income Statement (single pay-stub or tax slip)
*   Community Impact Statement (CIS) template
*   Dual Underwriter Score-Sheet
*   Neighbourhood Feedback Form (NFF)
