Based on the Acme Bank Micro-loan Fast-Track process defined above, here is the summary of decision points and the list of required documents.

### **Decision Points**

1.  **Underwriter Alignment Gate**
    *   **Condition:** Compares the risk scores (0–9) assigned by **Senior Underwriter A** and **Shadow Underwriter B**.
    *   **Outcome:**
        *   If scores differ by **≤ 2 points**, the process continues to the **Neighbourhood Feedback Check**.
        *   If scores differ by **> 2 points**, the file escalates to the **Harmonisation Committee** for a tie-break decision before continuing.

2.  **Amount Threshold Decision**
    *   **Condition:** Evaluates the requested loan amount against the €15 000 threshold.
    *   **Outcome:**
        *   If **amount < €15 000**, the system auto-approves.
        *   If **amount ≥ €15 000**, the file proceeds to **Final Micro-loan Board Approval**.

3.  **Final Micro-loan Board Approval (MBA)**
    *   **Condition:** The Board reviews the application (for amounts ≥ €15 000).
    *   **Outcome:** The Board votes to either *approve* or *reject* the loan.

***

### **Required Documents at Submission Time**

*   Digital Application Form (ML-APP-01)
*   Proof of Address (≤ 3 months old)
*   Latest Income Statement (single pay-stub or tax slip)
*   Community Impact Statement (CIS) template
*   Dual Underwriter Score-Sheet
*   Neighbourhood Feedback Form (NFF)
