Based solely on the Contoso Airlines process description provided:

### Decision Points
There is **one explicit decision point** in the process:

1.  **High-Value Threshold Check (after Finance_Controller_PreApprove):** The process branches based on the refund amount.
    *   **Condition:** If the refund amount is **greater than €1,000**, the case must go to `Senior_Auditor_Review`.
    *   **Alternative:** If the amount is €1,000 or less, the process proceeds directly to `Process_Refund_Payment`.

### Required Documents & Artefacts
The process requires the following documents at specific stages:

*   **For `Customer_Submit_Claim`:**
    *   `RefundRequestForm`
*   **For `Triage_Agent_Validate_Eligibility`:**
    *   `FlightManifest`
    *   `WeatherReport`
*   **For `Finance_Controller_PreApprove`:**
    *   `EligibilityChecklist`
*   **For `Senior_Auditor_Review` (high-value claims only):**
    *   `AuditTrail`
*   **For `Process_Refund_Payment`:**
    *   `BankTransferAuthorization` (must be signed)
*   **For `Issue_Confirmation_Letter`:**
    *   `RefundConfirmationPDF`
