# Contoso Airlines Flight-Refund Process — Decision Points & Required Documents

## Decision Points

**1. Triage_Agent_Validate_Eligibility**
- A triage agent decides whether the claim is **eligible or ineligible** by checking it against the *FlightManifest* and the *WeatherReport*.

**2. Finance_Controller_PreApprove**
- A finance controller decides whether to **sign off (pre-approve)** the claim, using the *EligibilityChecklist*.

**3. High-Value Branch (amount threshold)**
- **If the refund amount is greater than €1 000** → the case is routed to **Senior_Auditor_Review** (which must include the *AuditTrail*).
- **If the refund amount is €1 000 or less** → the case proceeds directly toward payment.

**4. Payment Gate (Process_Refund_Payment)**
- Payment may begin **only when both conditions hold**:
  - **Finance_Controller_PreApprove** has succeeded, **and**
  - For high-value claims, **Senior_Auditor_Review** has been completed.
- Additionally, the finance team executes payment only once the signed *BankTransferAuthorization* is present.

## Required Documents (complete list)

| # | Document | Used in Activity |
|---|----------|-----------------|
| 1 | **RefundRequestForm** | Customer_Submit_Claim |
| 2 | **FlightManifest** | Triage_Agent_Validate_Eligibility |
| 3 | **WeatherReport** | Triage_Agent_Validate_Eligibility |
| 4 | **EligibilityChecklist** | Finance_Controller_PreApprove |
| 5 | **AuditTrail** | Senior_Auditor_Review (high-value claims only) |
| 6 | **BankTransferAuthorization** (signed) | Process_Refund_Payment |
| 7 | **RefundConfirmationPDF** | Issue_Confirmation_Letter |

> **Note:** The legacy activity "CustomerService_Agent_Decide" found in most textbooks is **not part of** Contoso's process and is therefore excluded.
