### Decision Points

1.  **Underwriter Alignment Gate**
    *   **Condition:** Compares risk scores from **Senior Underwriter A** and **Shadow Underwriter B**.
    *   **Flow:** If scores differ by ≤ 2 points, continue to **Neighbourhood Feedback Check**. If scores differ by > 2 points, escalate to the **Harmonisation Committee** for a tie-break decision before continuing.
2.  **Amount Threshold Decision**
    *   **Condition:** Checks the loan amount requested against the €15 000 threshold.
    *   **Flow:** If amount < €15 000, the system **auto-approves**. If amount ≥ €15 000, proceed to **Final Micro-loan Board Approval (MBA)**.
3.  **Final Micro-loan Board Approval (MBA)**
    *   **Condition:** Required only for applications ≥ €15 000.
    *   **Flow:** The board votes *approve* or *reject*.

### Required Documents

*   Digital Application Form (ML-APP-01)
*   Proof of Address (≤ 3 months old)
*   Latest Income Statement (single pay-stub or tax slip)
*   Community Impact Statement (CIS) template
*   Dual Underwriter Score-Sheet
*   Neighbourhood Feedback Form (NFF)
